index,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:08,00:00:00:00:00:07,00:00:00:00:00:05,00:00:00:00:00:02,00:00:00:00:00:01,00:00:00:00:00:04
179,1052464.0,842688.0,1689520.0,1371104.0,1584688.0,112.0,628992.0,1056384.0
180,1056384.0,1552320.0,1685600.0,1370992.0,1580544.0,112.0,629104.0,1056496.0
181,1229760.0,1967728.0,1967728.0,1600704.0,1846656.0,4032.0,737856.0,1225728.0
182,1052352.0,1685376.0,1689408.0,1366848.0,1580656.0,7027888.0,637056.0,1056384.0
183,1233904.0,1967616.0,1967616.0,1596672.0,1842848.0,1660688.0,737856.0,1233904.0
184,1052576.0,1774080.0,1681344.0,1375024.0,1580656.0,209776.0,633136.0,1052576.0
185,1052464.0,1790320.0,1693552.0,1366848.0,1584688.0,209664.0,629104.0,1056496.0
186,1233792.0,2096640.0,2040192.0,1600704.0,1846656.0,245952.0,737968.0,1233904.0
187,1052352.0,1790208.0,1790320.0,1370880.0,1580768.0,213696.0,633024.0,1048432.0
188,1052352.0,1794352.0,1786288.0,1371104.0,1580544.0,209664.0,637168.0,1052464.0
189,9664816.0,2092832.0,2092608.0,1600928.0,1842624.0,245952.0,737968.0,1233792.0
190,6436821.333333333,1790208.0,1802304.0,1366960.0,1580656.0,209664.0,628992.0,1056608.0
191,1971648.0,2088576.0,2088576.0,763573.3333333334,1846656.0,245952.0,737856.0,1233792.0
192,1689632.0,1234250.6666666667,1786176.0,423472.0,1580544.0,209664.0,628992.0,1052464.0
193,1685600.0,951664.0,1794464.0,419328.0,1858752.0,213696.0,637168.0,1052352.0
194,1523114.6666666667,1104880.0,2092832.0,492016.0,2338896.0,245952.0,737968.0,1229872.0
195,1157184.0,947520.0,1790208.0,423360.0,2000096.0,209888.0,633024.0,1056384.0
196,1161216.0,951552.0,1794352.0,419440.0,2265984.0,209664.0,629104.0,1052464.0
197,1354864.0,1104880.0,2092608.0,492016.0,2951648.0,245952.0,737856.0,1233904.0
198,1153152.0,951552.0,1790208.0,423360.0,2528064.0,213696.0,633136.0,1048432.0
199,1189440.0,967680.0,1830528.0,431424.0,2580480.0,213696.0,649152.0,1108800.0
200,1350944.0,1104768.0,2088688.0,492016.0,2951536.0,245952.0,737968.0,1354864.0
201,1161328.0,951776.0,1794240.0,419552.0,2536128.0,209664.0,629104.0,1161440.0
202,1161216.0,951552.0,1790320.0,423360.0,2524144.0,7056000.0,637056.0,1157184.0
203,802800.0,1104768.0,2092720.0,491904.0,2627882.6666666665,9850176.0,737968.0,1359120.0
204,633024.0,947520.0,1786176.0,423360.0,2213568.0,8447040.0,637056.0,1157184.0
205,737856.0,1459584.0,2092608.0,492016.0,2580480.0,9854208.0,737968.0,1354752.0
206,633136.0,1370992.0,1802304.0,419328.0,2217600.0,8443008.0,628992.0,1157184.0
