index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8
673,320,12330400,4051984,320,12326368,320,320,320,3471264,1246320,1769488,685712,320,1931760,11636784,451904,665600,1020528,320,1028592,12543984,4051984,320,320,568944,677696,3366432,460032,564912,564800,677808,11971328,112,850752,11192944,423360,1164752,2628976,633024,524272
674,320,12515872,4028512,160,12519904,320,320,320,3451936,1262560,1726240,685872,432,1959712,11830320,460080,693936,1036656,320,1032624,12745808,4032544,320,320,572864,689904,3342848,460080,568944,577008,694048,12173152,0,988064,13112176,492016,1229872,3080448,737968,617008
675,320,6792165.333,3975984,320,6771845.333,320,320,320,3411504,1254272,1701936,847152,320,1927616,5908885.333,455936,681728,1028480,320,1020528,7033973.333,3975984,320,320,568832,685760,3298608,452016,572864,568832,685760,6481589.333,0,903280,6896565.333,423360,1056496,2636928,637056,524160
676,320,2085200,3235845.333,320,2085200,320,320,320,2651093.333,1274544,917221.3333,1508512,320,1972080,581040,467984,693664,958842.6667,320,1048976,2306848,3227781.333,320,320,1105424,689904,2522069.333,464000,577008,577008,693936,1734192,112,1846768,1112832,422378.6667,1709568,2316229.333,737968,617008
677,320,2032672,3714016,320,2032672,160,320,320,3145392,1242288,1448032,1468080,320,1919664,564912,451904,677696,790544,320,1169552,2258352,3709984,320,320,1129504,677696,3032496,605232,564800,718016,677808,1693872,112,1576736,951664,209664,1588720,2354912,633136,653184
678,320,2060784,8697456,320,2068848,320,320,320,3209792,6173424,1492160,1492160,320,1947776,572976,5355040,689792,807056,320,1262560,2306736,8713424,160,160,1145408,693936,8040240,690016,581040,806832,689792,1721984,0,1846656,1105104,246176,1838816,7354368,737856,862960
679,160,2036544,7043728,320,2036704,320,320,320,3161520,4567968,1467968,1476144,160,1919664,568944,3789680,677696,790704,320,1246544,2258352,7035664,320,320,1133536,677808,6346192,677808,564800,790704,677696,1693872,0,1584576,951664,213696,1580544,6128144,633024,733824
680,320,2068848,3386432,320,2060784,320,160,320,3092256,1258144,1762416,1484208,320,1555952,568832,455936,959936,798656,320,1262336,2290608,3382560,320,320,1149440,685760,3092864,685760,568832,802688,290016,1726128,4144,1850800,1330560,245952,1846768,2830464,374368,862848
681,320,2028528,3044592,320,2032560,320,320,160,3488000,1238256,2480000,1467968,320,1238144,564912,452016,1693760,786560,160,1242400,2258192,3044592,320,320,1121328,677808,3044592,677808,564912,786672,320,1689728,0,1572480,1899072,213808,1580656,2431408,0,733936
682,320,2032560,3044592,320,2032560,320,320,320,3496016,1238144,2484032,1468080,320,1242288,564800,3080768,1693760,790592,320,1222474.667,2262384,3048624,320,320,1113610.667,681728,3044480,677696,568672,770730.6667,432,1693872,112,1584576,3346560,209664,1580544,2415168,112,741888
