,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
158,1165064.0,480.0,4977984.0,2062848.0,480.0,480.0,3233720.0,4966128.0,480.0,720.0,853248.0,3227432.0,480.0,4119168.0
159,635520.0,480.0,4953792.0,2056800.0,480.0,480.0,2685792.0,4959840.0,720.0,480.0,841152.0,2686032.0,720.0,4113360.0
160,629472.0,480.0,4953792.0,2056800.0,480.0,720.0,2691840.0,4953792.0,480.0,480.0,847440.0,2691840.0,480.0,4119168.0
161,635520.0,720.0,4960080.0,2057040.0,480.0,480.0,2685792.0,4959840.0,480.0,480.0,841152.0,2685792.0,480.0,4113120.0
162,641808.0,480.0,3949432.0,2062848.0,720.0,480.0,2704176.0,3961528.0,480.0,480.0,505832.0,2703936.0,480.0,3468272.0
163,635520.0,480.0,480.0,2056800.0,480.0,480.0,2691840.0,720.0,720.0,720.0,480.0,2697888.0,480.0,720.0
164,635520.0,480.0,480.0,2056800.0,480.0,480.0,2691840.0,480.0,480.0,480.0,720.0,2686032.0,720.0,480.0
165,629472.0,480.0,720.0,2063088.0,480.0,720.0,2685792.0,480.0,480.0,480.0,480.0,2691840.0,480.0,480.0
166,635760.0,720.0,480.0,2056800.0,480.0,480.0,2697888.0,480.0,480.0,480.0,480.0,2691840.0,480.0,480.0
167,629472.0,480.0,480.0,2056800.0,720.0,480.0,2686032.0,720.0,480.0,720.0,480.0,2691840.0,480.0,480.0
168,635520.0,480.0,480.0,2062848.0,480.0,480.0,2691840.0,480.0,720.0,480.0,480.0,2686032.0,720.0,720.0
169,629472.0,480.0,480.0,2056800.0,480.0,720.0,2697888.0,480.0,480.0,480.0,720.0,2697888.0,480.0,480.0
170,635520.0,720.0,6768.0,685352.0,480.0,480.0,1308056.0,6528.0,480.0,480.0,6528.0,1302008.0,480.0,480.0
171,629712.0,480.0,480.0,480.0,720.0,480.0,635760.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0
172,635520.0,480.0,480.0,480.0,480.0,480.0,629472.0,720.0,720.0,720.0,480.0,629472.0,480.0,720.0
173,629472.0,480.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,480.0,720.0,635760.0,720.0,480.0
174,635520.0,480.0,720.0,720.0,480.0,720.0,629472.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0
175,635760.0,720.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0
176,629472.0,480.0,480.0,480.0,720.0,480.0,629712.0,720.0,480.0,720.0,480.0,635520.0,480.0,480.0
177,635520.0,480.0,480.0,480.0,480.0,480.0,635520.0,480.0,720.0,480.0,480.0,629472.0,720.0,720.0
178,629472.0,480.0,480.0,480.0,480.0,720.0,629472.0,480.0,480.0,480.0,720.0,635760.0,480.0,480.0
179,635520.0,720.0,720.0,720.0,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0
180,629712.0,480.0,480.0,480.0,720.0,480.0,629712.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0
181,553136.0,480.0,6528.0,480.0,480.0,480.0,553136.0,6768.0,720.0,720.0,6528.0,547088.0,480.0,720.0
182,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,720.0,480.0
183,480.0,480.0,720.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
184,720.0,720.0,2050752.0,480.0,720.0,480.0,480.0,2044704.0,480.0,480.0,480.0,480.0,480.0,2038656.0
185,480.0,480.0,2032608.0,480.0,480.0,480.0,720.0,2032848.0,480.0,720.0,480.0,480.0,480.0,2032608.0
186,480.0,480.0,2050752.0,480.0,480.0,480.0,480.0,2056800.0,720.0,480.0,480.0,480.0,720.0,2057040.0
187,480.0,480.0,2062848.0,480.0,480.0,720.0,480.0,2056800.0,480.0,480.0,720.0,720.0,480.0,2056800.0
188,480.0,720.0,7064784.0,720.0,480.0,480.0,480.0,7058496.0,480.0,480.0,480.0,480.0,480.0,7046400.0
189,720.0,480.0,7209696.0,480.0,720.0,480.0,720.0,7203648.0,480.0,480.0,480.0,480.0,480.0,7203648.0
190,480.0,480.0,7203648.0,480.0,480.0,480.0,480.0,7203888.0,720.0,720.0,480.0,480.0,480.0,7203648.0
191,480.0,480.0,16178880.0,480.0,480.0,480.0,480.0,16148640.0,480.0,480.0,8927568.0,720.0,720.0,7203888.0
192,480.0,8836608.0,7645392.0,720.0,480.0,8812656.0,480.0,7675392.0,480.0,8788224.0,9223680.0,480.0,480.0,7209696.0
193,720.0,9266256.0,7203648.0,480.0,480.0,9259968.0,480.0,7203648.0,480.0,9266016.0,9266016.0,480.0,480.0,7209696.0
194,480.0,9253920.0,7197600.0,480.0,720.0,9259968.0,720.0,7203888.0,480.0,9253920.0,9259968.0,480.0,480.0,7197600.0
195,480.0,4383640.0,7197600.0,6528.0,6528.0,4407832.0,480.0,7197600.0,6768.0,4432264.0,4450168.0,480.0,6768.0,7197840.0
196,480.0,480.0,7209696.0,480.0,480.0,720.0,480.0,7203648.0,480.0,480.0,720.0,720.0,480.0,7203648.0
197,6528.0,720.0,5264208.0,720.0,480.0,480.0,6528.0,5276064.0,480.0,480.0,480.0,6528.0,480.0,5288160.0
198,720.0,480.0,30160.0,6528.0,720.0,480.0,6528.0,36208.0,480.0,480.0,480.0,6528.0,480.0,42256.0
199,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,720.0,720.0,480.0,480.0,480.0,480.0
200,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,720.0
201,480.0,480.0,2970048.0,720.0,480.0,720.0,480.0,2964000.0,480.0,480.0,2958192.0,480.0,480.0,480.0
202,720.0,720.0,4034736.0,480.0,480.0,480.0,480.0,4028448.0,480.0,480.0,4022400.0,480.0,480.0,480.0
203,480.0,480.0,5147328.0,480.0,720.0,480.0,720.0,5147568.0,480.0,480.0,5147328.0,480.0,480.0,480.0
204,480.0,480.0,5147328.0,480.0,480.0,480.0,480.0,5147328.0,720.0,720.0,5141280.0,480.0,720.0,720.0
205,381504.0,480.0,5141280.0,480.0,480.0,720.0,381504.0,5147328.0,480.0,480.0,5153616.0,387792.0,480.0,480.0
206,841152.0,720.0,5153616.0,720.0,480.0,480.0,847200.0,5147328.0,480.0,480.0,5141280.0,841152.0,480.0,480.0
