,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
13126,480.0,7039872.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,943488.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3084480.0,3005856.0
13127,480.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3084480.0,3011904.0
13128,480.0,7039872.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7051968.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,943488.0,3090528.0,3005856.0
13129,480.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3090528.0,3011904.0
13130,480.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7045920.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,943488.0,480.0,949536.0,3090528.0,2999808.0
13131,480.0,7051968.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,7033824.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,480.0,949536.0,3084480.0,3011904.0
13132,480.0,7039872.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,7033824.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,3084480.0,3005856.0
13133,480.0,5659288.0,949536.0,480.0,6048.0,480.0,480.0,949536.0,480.0,6048.0,955584.0,5671384.0,949536.0,480.0,6048.0,480.0,480.0,949536.0,480.0,6048.0,955584.0,480.0,949536.0,1709944.0,3005856.0
13134,480.0,4971456.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,943488.0,4983552.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,1028160.0,3005856.0
13135,480.0,4983552.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,4983552.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,943488.0,480.0,943488.0,1028160.0,3005856.0
13136,480.0,4995648.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,4989600.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,1034208.0,3005856.0
13137,480.0,4983552.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,4977504.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,480.0,949536.0,1028160.0,3011904.0
13138,480.0,4989600.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,4995648.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,949536.0,1028160.0,3005856.0
13139,480.0,4989600.0,834064.0,480.0,480.0,480.0,480.0,834064.0,480.0,480.0,828016.0,4983552.0,834064.0,480.0,480.0,480.0,480.0,834064.0,480.0,480.0,828016.0,480.0,949536.0,1034208.0,3005856.0
13140,480.0,4749408.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,4761504.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,480.0,991872.0,1076544.0,2705184.0
13141,480.0,2794176.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2800224.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,901152.0,985824.0,907200.0
13142,480.0,2933280.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2927232.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,1028160.0,949536.0
13143,480.0,2927232.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2921184.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,1028160.0,943488.0
13144,480.0,2927232.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2933280.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,1028160.0,949536.0
13145,480.0,2656800.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,2656800.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,480.0,685152.0,1028160.0,949536.0
13146,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1034208.0,949536.0
13147,480.0,1983744.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,949536.0
13148,480.0,1971648.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,949536.0
13149,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1983744.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,949536.0
13150,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,943488.0
13151,480.0,1983744.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1034208.0,949536.0
13152,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1971648.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,949536.0
13153,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1977696.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1028160.0,949536.0
13154,480.0,1600000.0,480.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,6048.0,1612096.0,480.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,6048.0,480.0,480.0,662560.0,949536.0
13155,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13156,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13157,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,943488.0
13158,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13159,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13160,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13161,480.0,943488.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0
13162,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,943488.0
13163,480.0,51712.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,51712.0,6048.0,480.0,480.0,480.0,480.0,6048.0,480.0,480.0,6048.0,480.0,480.0,480.0,57760.0
13164,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
13165,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
13166,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
